"POS","PLAYER","TEAM","RATING","CAREER BEST RATING"
"1","Babar Azam","PAK","865","865 v South Africa, 07/04/2021"
"2","Virat Kohli","IND","857","911 v England, 12/07/2018"
"3","Rohit Sharma","IND","825","885 v Sri Lanka, 06/07/2019"
"4","Ross Taylor","NZ","801","841 v Bangladesh, 05/06/2019"
"5","Aaron Finch","AUS","791","798 v England, 25/06/2019"
"6","Jonny Bairstow","ENG","785","796 v India, 26/03/2021"
"7","Fakhar Zaman","PAK","778","778 v South Africa, 07/04/2021"
"","Francois du Plessis","SA","778","820 v Australia, 06/07/2019"
"9","David Warner","AUS","773","880 v Pakistan, 26/01/2017"
"","Shai Hope","WI","773","808 v Bangladesh, 17/05/2019"
"11","Quinton de Kock","SA","756","813 v Sri Lanka, 10/03/2019"
"12","Kane Williamson","NZ","754","799 v India, 09/07/2019"
"13","Imam-ul-Haq","PAK","751","768 v South Africa, 02/04/2021"
"14","Joe Root","ENG","723","824 v Sri Lanka, 13/10/2018"
"15","Steve Smith","AUS","707","752 v Pakistan, 22/01/2017"
"","Martin Guptill","NZ","707","789 v South Africa, 01/03/2017"
"17","Shikhar Dhawan","IND","706","813 v Pakistan, 23/09/2018"
"18","Mushfiqur Rahim","BAN","698","723 v Sri Lanka, 28/07/2019"
"19","Jason Roy","ENG","689","782 v Australia, 11/07/2019"
"20","Glenn Maxwell","AUS","684","735 v India, 20/01/2016"
"","Paul Stirling","IRE","684","693 v Pakistan, 23/05/2013"
"22","Rassie van der Dussen","SA","680","683 v Pakistan, 04/04/2021"
"23","Tamim Iqbal","BAN","678","737 v West Indies, 28/07/2018"
"24","Usman Khawaja","AUS","675","735 v New Zealand, 29/06/2019"
"25","Ben Stokes","ENG","668","694 v New Zealand, 14/07/2019"
"26","Shakib Al Hasan","BAN","659","692 v Pakistan, 05/07/2019"
"27","Eoin Morgan","ENG","655","720 v Afghanistan, 18/06/2019"
"28","Lokesh Rahul","IND","646","657 v England, 26/03/2021"
"29","Alex Carey","AUS","644","644 v India, 02/12/2020"
"30","David Miller","SA","640","643 v Pakistan, 04/04/2021"
"31","Shimron Hetmyer","WI","633","709 v India, 15/12/2019"
"32","Jos Buttler","ENG","627","741 v Bangladesh, 08/06/2019"
"33","Tom Latham","NZ","624","631 v Bangladesh, 23/03/2021"
"34","Nicholas Pooran","WI","614","634 v Ireland, 12/01/2020"
"35","Haris Sohail","PAK","603","618 v Zimbabwe, 30/10/2020"
"36","Kyle Coetzer","SCO","588","647 v Ireland, 18/03/2018"
"37","Henry Nicholls","NZ","581","596 v Bangladesh, 20/03/2021"
"38","Aqib Ilyas","OMA","578","578 v United States, 11/02/2020"
"39","Angelo Mathews","SL","575","707 v England, 07/12/2014"
"40","Mahmudullah","BAN","571","579 v Afghanistan, 23/09/2018"
"","Brendan Taylor","ZIM","571","667 v New Zealand, 09/02/2012"
"42","Hardik Pandya","IND","561","561 v England, 28/03/2021"
"","Sean Williams","ZIM","561","561 v Pakistan, 03/11/2020"
"44","Kedar Jadhav","IND","560","629 v Afghanistan, 22/06/2019"
"45","Evin Lewis","WI","559","567 v Sri Lanka, 12/03/2021"
"","Rahmat Shah","AFG","559","625 v Sri Lanka, 17/09/2018"
"47","Litton Das","BAN","553","573 v West Indies, 22/01/2021"
"48","Kusal Mendis","SL","549","631 v Zimbabwe, 30/06/2017"
"49","Danushka Gunathilaka","SL","546","546 v West Indies, 14/03/2021"
"","Mohammad Hafeez","PAK","546","665 v Bangladesh, 04/03/2014"
"51","Soumya Sarkar","BAN","537","671 v South Africa, 15/07/2015"
"","Andrew Balbirnie","IRE","537","570 v Zimbabwe, 01/07/2019"
"53","Sikandar Raza","ZIM","536","576 v Afghanistan, 22/10/2015"
"54","Imad Wasim","PAK","533","556 v Bangladesh, 05/07/2019"
"55","Kusal Perera","SL","531","553 v Bangladesh, 31/07/2019"
"56","Marcus Stoinis","AUS","525","616 v India, 08/03/2019"
"57","Calum MacLeod","SCO","522","585 v England, 10/06/2018"
"58","Mohammad Shahzad","AFG","519","594 v Bangladesh, 28/09/2016"
"59","Sarfaraz Ahmed","PAK","512","581 v West Indies, 05/10/2016"
"60","Colin de Grandhomme","NZ","507","520 v Pakistan, 19/01/2018"
"61","Najibullah Zadran","AFG","506","518 v West Indies, 09/11/2019"
"","Marnus Labuschagne","AUS","506","532 v India, 29/11/2020"
"63","Chris Gayle","WI","504","804 v Zimbabwe, 30/11/2003"
"64","Avishka Fernando","SL","502","514 v West Indies, 26/02/2020"
"65","Hashmatullah Shaidi","AFG","498","519 v India, 22/06/2019"
"66","Jimmy Neesham","NZ","495","549 v Pakistan, 26/06/2019"
"","Shaun Marsh","AUS","495","581 v South Africa, 18/01/2009"
"","Kevin O'Brien","IRE","495","602 v Netherlands, 07/07/2013"
"69","Mohammad Nabi","AFG","494","545 v Bangladesh, 28/09/2016"
"70","Mitchell Marsh","AUS","486","641 v New Zealand, 06/12/2016"
"71","Peter Handscomb","AUS","483","593 v Pakistan, 27/03/2019"
"72","Shreyas Iyer","IND","479","513 v New Zealand, 11/02/2020"
"","Asghar Afghan","AFG","479","483 v West Indies, 11/11/2019"
"74","Richard Berrington","SCO","478","487 v United States, 14/12/2019"
"75","William Porterfield","IRE","475","539 v UAE, 12/03/2018"
"76","Muhammad Usman","UAE","471","478 v Ireland, 08/01/2021"
"77","Colin Munro","NZ","468","539 v Sri Lanka, 05/01/2019"
"78","Craig Ervine","ZIM","464","524 v Afghanistan, 18/10/2015"
"79","Mitchell Santner","NZ","460","502 v England, 10/03/2018"
"80","Heinrich Klaasen","SA","457","499 v Australia, 07/03/2020"
"81","Lahiru Thirimanne","SL","456","599 v West Indies, 04/11/2015"
"82","Aiden Markram","SA","454","459 v New Zealand, 19/06/2019"
"83","Andile Phehlukwayo","SA","450","450 v Pakistan, 07/04/2021"
"84","Thisara Perera","SL","446","509 v New Zealand, 08/01/2019"
"85","Jason Holder","WI","445","445 v Sri Lanka, 14/03/2021"
"86","Sabbir Rahman","BAN","444","515 v Sri Lanka, 19/01/2018"
"","Mithun Ali","BAN","444","452 v New Zealand, 23/03/2021"
"","Temba Bavuma","SA","444","444 v Pakistan, 07/04/2021"
"89","Assad Vala","PNG","443","444 v Namibia, 23/09/2019"
"90","Ravindra Jadeja","IND","440","552 v West Indies, 08/10/2014"
"91","Dhananjaya de Silva","SL","436","444 v Bangladesh, 28/07/2019"
"","Dinesh Chandimal","SL","436","667 v Australia, 02/03/2012"
"93","Rishabh Pant","IND","432","432 v England, 28/03/2021"
"","Rashid Khan","AFG","432","477 v Ireland, 10/03/2019"
"95","Rovman Powell","WI","426","456 v India, 24/10/2018"
"96","Matthew Cross","SCO","416","427 v Oman, 18/08/2019"
"97","Tony Ura","PNG","415","416 v Namibia, 23/09/2019"
"","Gulbadin Naib","AFG","415","440 v Ireland, 28/02/2018"
"99","Chris Woakes","ENG","411","481 v Australia, 26/01/2018"
"100","Sam Billings","ENG","409","415 v Australia, 16/09/2020"
