"POS","PLAYER","TEAM","RATING","CAREER BEST RATING"
"1","Shakib Al Hasan","BAN","408","453 v Zimbabwe, 05/11/2009"
"2","Ben Stokes","ENG","295","319 v New Zealand, 14/07/2019"
"3","Mohammad Nabi","AFG","294","349 v Zimbabwe, 26/02/2017"
"4","Chris Woakes","ENG","273","312 v New Zealand, 10/03/2018"
"5","Rashid Khan","AFG","270","359 v Pakistan, 21/09/2018"
"6","Mitchell Santner","NZ","268","317 v England, 10/03/2018"
"7","Imad Wasim","PAK","263","299 v Bangladesh, 05/07/2019"
"8","Colin de Grandhomme","NZ","257","266 v India, 11/02/2020"
"9","Ravindra Jadeja","IND","245","377 v England, 23/06/2013"
"10","Sean Williams","ZIM","238","241 v Sri Lanka, 30/06/2017"
"11","Sikandar Raza","ZIM","237","275 v Ireland, 16/03/2018"
"12","Andile Phehlukwayo","SA","227","261 v Afghanistan, 15/06/2019"
"13","Hardik Pandya","IND","226","262 v South Africa, 16/02/2018"
"","Jimmy Neesham","NZ","226","227 v England, 03/07/2019"
"15","Jason Holder","WI","206","214 v Sri Lanka, 10/03/2021"
"16","Kagiso Rabada","SA","205","224 v India, 05/06/2019"
"17","Trent Boult","NZ","202","213 v India, 09/07/2019"
"18","Marcus Stoinis","AUS","201","243 v India, 08/03/2019"
"19","Glenn Maxwell","AUS","200","350 v England, 11/09/2015"
"","Mehedi Hasan","BAN","200","222 v Sri Lanka, 28/07/2019"
