"POS","PLAYER","TEAM","RATING","CAREER BEST RATING"
"1","Trent Boult","NZ","737","770 v West Indies, 22/06/2019"
"2","Mujeeb Ur Rahman","AFG","708","712 v Ireland, 24/01/2021"
"3","Matt Henry","NZ","691","691 v Bangladesh, 26/03/2021"
"4","Jasprit Bumrah","IND","690","841 v West Indies, 01/11/2018"
"5","Mehedi Hasan","BAN","668","694 v West Indies, 25/01/2021"
"6","Kagiso Rabada","SA","666","724 v England, 29/05/2017"
"7","Chris Woakes","ENG","665","676 v New Zealand, 14/07/2019"
"8","Josh Hazlewood","AUS","660","733 v England, 26/01/2018"
"9","Pat Cummins","AUS","646","729 v Pakistan, 12/06/2019"
"10","Mohammad Amir","PAK","638","663 v Sri Lanka, 02/10/2019"
"11","Shaheen Afridi","PAK","634","634 v South Africa, 07/04/2021"
"12","Bhuvneshwar Kumar","IND","632","657 v West Indies, 17/10/2014"
"13","Jofra Archer","ENG","627","642 v Australia, 13/09/2020"
"14","Rashid Khan","AFG","626","806 v Pakistan, 21/09/2018"
"15","Adam Zampa","AUS","623","623 v India, 02/12/2020"
"16","Shakib Al Hasan","BAN","620","717 v Zimbabwe, 05/11/2009"
"17","Lachlan Ferguson","NZ","619","668 v West Indies, 22/06/2019"
"","Mustafizur Rahman","BAN","619","695 v West Indies, 14/12/2018"
"19","Mitchell Starc","AUS","611","783 v New Zealand, 29/03/2015"
"20","Lungi Ngidi","SA","606","621 v Australia, 04/03/2020"
"21","Akila Dananjaya","SL","603","651 v England, 23/10/2018"
"22","Mohammad Nabi","AFG","596","653 v Zimbabwe, 26/02/2017"
"23","Mark Wood","ENG","594","615 v Sri Lanka, 21/06/2019"
"24","Yuzvendra Chahal","IND","584","730 v New Zealand, 23/01/2019"
"25","Mitchell Santner","NZ","583","663 v England, 25/02/2018"
"26","Mohammad Shami","IND","574","654 v Bangladesh, 19/03/2015"
"27","Alzarri Joseph","WI","569","569 v Sri Lanka, 14/03/2021"
